State,Organization,School Name,Reporting Year,Site ID (from CISDM),NCES School ID,CIS Model or GYS?,Non-traditional school?,Site Category,Site Type,"SC Presence at School:
 None (0 Hrs), (<32hrs) Part Time, (32+) Full Time",Parents Engaged,Total Alumni Served,Student Enrollment,Number of Students w/ ONLY WS Supports,Non-Case Managed Students,Case Managed Students,Total Students Served,"Students, Female - American Indian","Students, Female - Asian","Students, Female-
 Native Hawaiian/Other Pacific Islander","Students, Female - Black","Students, Female - Hispanic","Students, Female - White","Students, Female - Two or More Races","Students, Female - Other","Students, Female - Unknown","Students, Male - American Indian","Students, Male - Asian","Students, Male - 
Native Hawaiian/Other Pacific Islander","Students, Male - Black","Students, Male - Hispanic","Students, Male - White","Students, Male - Two or More Races","Students, Male - Other","Students, Male - Unknown","Students, Other Gender - American Indian","Students, Other Gender - Asian","Students, Other Gender - 
Native Hawaiian/Other Pacific Islander","Students, Other Gender - Black","Students, Other Gender - Hispanic","Students, Other Gender - White","Students, Other Gender - Two or More Races","Students, Other Gender - Other Race","Students, Other Gender - Unknown Race","Students, Unknown Gender - American Indian","Students, Unknown Gender - Asian","Students, Unknown Gender - 
Native Hawaiian/Other Pacific Islander","Students, Unknown Gender - Black","Students, Unknown Gender - Hispanic","Students, Unknown Gender - White","Students, Unknown Gender - Two or More Races","Students, Unknown Gender - Other Race","Students, Unknown Gender - Unknown Race","Race/Gender
Total","Hispanic, Latino, or Spanish",Middle Eastern or North African (MENA),"Two or More
Ethnicities",None Listed,Unknown,"TOTAL
Ethnicity",Community Eligibility Provision,eligible FRPL,not eligible FRPL,unknown FRPL,FRPL - TOTAL (auto),Adj Youth - Yes,Adj Youth - No,Adj Youth - Unknown,Adj Youth - TOTAL (auto),Child of military - Yes,Child of military - No,Child of military - Unknown,Child of military - TOTAL (auto),ELL - Yes,ELL - No,ELL - Unknown,ELL - TOTAL (auto),Exposed to Trauma - Yes,Exposed to Trauma - No,Exposed to Trauma - Unknown,Exposed to Trauma - TOTAL (auto),Foster care/Group home - Yes,Foster care/Group home - No,Foster care/Group home - Unknown,Foster care/Group home - TOTAL (auto),Gang Involvement - Yes,Gang Involvement - No,Gang Involvement - Unknown,Gang Involvement - TOTAL (auto),Homeless - Yes,Homeless - No,Homeless - Unknown,Homeless - TOTAL (auto),Incarcerated parent - Yes,Incarcerated parent - No,Incarcerated parent - Unknown,Incarcerated parent - TOTAL (auto),LGBTQ+ - Yes,LGBTQ+ - No,LGBTQ+ - Unknown,LGBTQ+ - TOTAL (auto),Over age/Under credit - Yes,Over age/Under credit - No,Over age/Under credit - Unknown,Over age/Under credit - TOTAL (auto),Pregnant/ Parenting - Yes,Pregnant/ Parenting - No,Pregnant/ Parenting - Unknown,Pregnant/ Parenting - TOTAL (auto),Special Education - Yes,Special Education - No,Special Education - Unknown,Special Education - TOTAL (auto),Substance abuse - Yes,Substance abuse - No,Substance abuse - Unknown,Substance abuse - TOTAL (auto),Attendance: CM students w/ goal,Attendance: CM students met goal,"Attendance: CM students not met, with progress","Attendance: CM students not met, no progress",Behavior: CM students w/ goal,Behavior: CM students met goal,"Behavior: CM students not met, with progress","Behavior: CM students not met, no progress",Academics: CM students w/ goal,Academics: CM students met goal,"Academics: CM students not met, with progress","Academics: CM students not met, no progress",SEL: CM students w/ goal,SEL: CM students met goal,"SEL: CM students not met, with progress","SEL: CM students not met, no progress",SEL Metric Name,High Risk Behavior: CM students w/ goal,High Risk Behavior: CM students met goal,"High Risk Behavior: CM students not met, with progress","High Risk Behavior: CM students not met, no progress",College Readiness: CM students w/ goal,College Readiness: CM students met goal,"College Readiness: CM students not met, with progress","College Readiness: CM students not met, no progress",Career Readiness: CM students w/ goal,Career Readiness: CM students met goal,"Career Readiness: CM students not met, with progress","Career Readiness: CM students not met, no progress",K-11 Promoted,K-11 Graduated,K-11 Retained,K-11 Dropped Out,K-11 Transferred,K-11 GED,K-11 Expelled,K-11 Incarcerated,K-11 Deceased,K-11 Other,K-11 Unknown,K-11 TOTAL (auto),Grade 12 Graduated,Grade 12 Retained,Grade 12 Dropped Out,Grade 12 Transferred,Grade 12 GED,Grade 12 Expelled,Grade 12 Incarcerated,Grade 12 Deceased,Grade 12 Other,Grade 12 Unknown,Grade 12 TOTAL (auto),# of PreK Students,# of College Students,# of addl students (Other and Unknown Grade),EOY Status - TOTAL (auto),Grade 12 Graduated in 4 yrs,# Post-secondary School,Cert/ Apprentice,Associate,Bachelor,# Workforce,# Military,# Other,# Unknown,# Student Unsure,# Not Captured,Postsecondary- TOTAL (auto),Organization ID
LA,CIS of the Gulf South,Advantage Charter Academy,2022/2023 SY,422819,220026802385,CIS Model,No,Public Charter,Combined (any other K-12 combination),Full Time,100,0,520,500,3,17,517,0,0,0,12,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,13,3,17,Yes,16,1,0,17,0,17,0,17,0,17,0,17,1,16,0,17,13,4,0,17,1,16,0,17,0,17,0,17,0,17,0,17,0,13,4,17,1,15,1,17,2,15,0,17,0,17,0,17,3,14,0,17,0,17,0,17,10,0,10,0,0,0,0,0,0,0,0,0,10,0,7,3,"Academic Mindset (SEAD construct), Behavior Engagement, Cognitive Engagement, Emotional Engagement, Global Engagement (Engagement Survey), Other (SEL), Overall SEAD assessment score, Self Control (SEAD), Self-Perception (SEAD), Social Engagement, Social Support (SEAD)",0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,4,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,33860
LA,CIS of the Gulf South,Alternative Center for Education,2022/2023 SY,536500,129244000001,General Youth Services,Yes,Public School,Combined (any other K-12 combination),Full Time,50,0,136,90,12,30,120,0,0,0,7,0,1,0,1,0,0,0,0,15,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,30,0,30,Yes,30,0,0,30,10,20,0,30,0,30,0,30,0,30,0,30,4,26,0,30,0,30,0,30,6,24,0,30,0,30,0,30,1,29,0,30,2,28,0,30,1,29,0,30,2,28,0,30,10,20,0,30,5,25,0,30,30,23,0,7,30,24,1,5,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,12,0,6,1,4,0,0,0,0,7,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,33860
LA,CIS of the Gulf South,Anderson Middle School,2022/2023 SY,329929,220072000505,CIS Model,No,Public School,Middle ,Full Time,30,0,364,295,29,61,356,0,1,0,34,1,9,2,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,3,0,0,58,0,61,Yes,58,2,1,61,4,56,1,61,0,60,1,61,2,58,1,61,19,41,1,61,0,60,1,61,0,60,1,61,0,60,1,61,3,57,1,61,10,50,1,61,21,39,1,61,1,59,1,61,6,54,1,61,2,58,1,61,59,40,6,13,59,48,2,9,0,0,0,0,0,0,0,0,Overall SEAD assessment score,0,0,0,0,0,0,0,0,0,0,0,0,52,0,6,0,3,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,33860
LA,CIS of the Gulf South,Arthur Ashe Charter School,2022/2023 SY,242051,220019200947,CIS Model,No,Public Charter,Combined (any other K-12 combination),Full Time,200,0,795,650,14,145,795,0,0,0,73,6,3,0,0,0,0,0,0,54,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,10,0,0,96,37,143,Yes,135,10,0,145,0,143,2,145,1,137,7,145,8,137,0,145,95,36,14,145,0,145,0,145,0,143,2,145,5,140,0,145,5,123,17,145,1,60,84,145,1,144,0,145,0,143,2,145,29,116,0,145,0,145,0,145,70,56,12,2,2,0,1,1,143,85,18,40,113,66,22,25,"Other (SEL), Overall SEAD assessment score, Self Control (SEAD)",0,0,0,0,0,0,0,0,0,0,0,0,139,0,3,0,3,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,33860
LA,CIS of the Gulf South,Belle Place Elementary School,2022/2023 SY,536620,220072002479,CIS Model,No,Public School,Combined (any other K-12 combination),Part Time,40,0,369,314,16,54,368,0,0,0,10,0,11,3,0,0,0,2,0,12,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1,0,0,53,0,54,Yes,28,26,0,54,0,54,0,54,0,54,0,54,0,54,0,54,36,18,0,54,2,52,0,54,0,54,0,54,0,54,0,54,2,52,0,54,0,54,0,54,4,50,0,54,0,54,0,54,6,48,0,54,0,54,0,54,50,48,0,2,0,0,0,0,0,0,0,0,50,16,32,2,"Other (SEL), Overall SEAD assessment score",0,0,0,0,0,0,0,0,0,0,0,0,51,0,2,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,1,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,33860
LA,CIS of the Gulf South,Belle Place Middle School,2022/2023 SY,536619,220072001927,CIS Model,No,Public School,Middle ,Part Time,23,0,386,343,24,41,384,0,0,0,9,1,9,2,2,0,0,0,0,5,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,2,0,0,39,0,41,Yes,26,15,0,41,0,41,0,41,1,40,0,41,1,40,0,41,32,9,0,41,1,40,0,41,0,41,0,41,0,41,0,41,0,41,0,41,2,39,0,41,8,33,0,41,0,41,0,41,3,38,0,41,0,41,0,41,38,29,8,1,0,0,0,0,0,0,0,0,38,15,17,6,Overall SEAD assessment score,0,0,0,0,0,0,0,0,0,0,0,0,39,0,2,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,33860
LA,CIS of the Gulf South,Benjamin Franklin High School,Not Reporting,516549,220029900888,,No,Public School,High,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Emotional Engagement, Overall SEAD assessment score",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33860
LA,CIS of the Gulf South,Bonnabel Magnet Academy High School,Not Reporting,383495,220084000585,,No,Community-Based Site,Community-Based Site,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33860
LA,CIS of the Gulf South,Bricolage Academy,Not Reporting,36502,220028902364,,No,Public Charter,Elementary,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other (SEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33860
LA,CIS of the Gulf South,Caneview Elementary,2022/2023 SY,516555,220072002260,CIS Model,No,Public School,Combined (any other K-12 combination),Full Time,125,0,523,384,31,138,522,0,3,0,31,4,44,0,0,0,0,1,0,14,3,33,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,1,0,0,137,0,138,,138,0,0,138,1,137,0,138,1,137,0,138,85,53,0,138,41,97,0,138,2,136,0,138,0,138,0,138,0,138,0,138,2,136,0,138,0,138,0,138,0,138,0,138,0,138,0,138,19,119,0,138,0,138,0,138,138,125,1,12,1,1,0,0,0,0,0,0,137,83,16,38,"Other (SEL), Overall SEAD assessment score, Social Awareness (SEAD)",0,0,0,0,0,0,0,0,0,0,0,0,120,0,9,0,9,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,33860
